n,d,repeat,elapsed,rank,T_over_rank,T_over_nk,T_over_nk2
2100,2,2,0.458999872208,55,8.345452221957e-03,3.974024867599e-06,7.225499759270e-08
2100,4,1,0.983000040054,116,8.474138276330e-03,4.035303941110e-06,3.478710294060e-08
2100,4,0,1.837000131607,204,9.004902605917e-03,4.288048859960e-06,2.101984735275e-08
2100,4,3,1.885999917984,201,9.383084169075e-03,4.468135318607e-06,2.222952894829e-08
2100,4,2,1.995000123978,220,9.068182381717e-03,4.318182086532e-06,1.962810039333e-08
2100,8,1,45.847999811172,1205,3.804813262338e-02,1.811815839209e-05,-3.680457192801e-08
2100,8,3,46.625999927521,1151,4.050912243920e-02,1.929005830438e-05,-3.081925849417e-08
2100,8,2,47.576999902725,1230,3.868048772579e-02,1.841927986943e-05,-4.256012719193e-08
2100,8,0,54.303999900818,1310,4.145343503879e-02,1.973973097085e-05,-7.856966889462e-08
2100,16,1,66.839999914169,1438,4.648122386243e-02,2.213391612497e-05,1.407006706357e-06
2100,16,2,67.140000104904,1441,4.659264407002e-02,2.218697336668e-05,1.022808228986e-06
2100,16,0,68.741999864578,1476,4.657317063996e-02,2.217770030474e-05,2.454700553548e-07
2100,16,3,69.158999919891,1440,4.802708327770e-02,2.287003965605e-05,1.160527972013e-06
2100,32,1,70.250999927521,1468,4.785490458278e-02,2.278804980132e-05,3.046667284326e-07
2100,32,2,72.955999851227,1492,4.889812322468e-02,2.328482058318e-05,1.921072127701e-07
2100,32,0,74.807999849319,1532,4.883028710791e-02,2.325251767043e-05,1.180340709261e-07
2100,32,3,78.506000041962,1535,5.114397396870e-02,2.435427331843e-05,1.202042175765e-07
2200,2,0,0.247999906540,17,1.458822979647e-02,6.631013543848e-06,3.900596202264e-07
2200,2,2,0.457999944687,39,1.174358832530e-02,5.337994693320e-06,1.368716588031e-07
2200,2,3,0.664000034332,57,1.164912340934e-02,5.295056095154e-06,9.289572096761e-08
2200,2,1,0.773000001907,73,1.058904112202e-02,4.813200510008e-06,6.593425356176e-08
2200,4,0,1.434999942780,139,1.032374059554e-02,4.692609361607e-06,3.375977957991e-08
2200,4,3,1.622999906540,151,1.074834375192e-02,4.885610796327e-06,3.235503838627e-08
2200,4,2,2.286000013351,227,1.007048464031e-02,4.577493018325e-06,2.016516748161e-08
2200,4,1,3.023000001907,298,1.014429530841e-02,4.611043322006e-06,1.547329973828e-08
2200,8,3,7.220999956131,467,1.546252667266e-02,7.028421214844e-06,1.505015249431e-08
2200,8,2,22.231999874115,844,2.634123207834e-02,1.197328730833e-05,1.418635937006e-08
2200,8,1,44.246999979019,1260,3.511666665002e-02,1.596212120455e-05,-5.515381628537e-08
2200,8,0,48.610000133514,1312,3.705030497981e-02,1.684104771810e-05,-9.568699961175e-08
2200,16,0,64.861999988556,1450,4.473241378521e-02,2.033291535691e-05,1.962347422921e-07
2200,16,3,71.009000062943,1499,4.737091398462e-02,2.153223362937e-05,1.095082939319e-07
